indic_na,unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
B6N_U,PPCS_HAB,FR51	10228.3 	10753.7 	11177.5 	11763.6 	12663.4 	13946.2 	14454.6 	13849.6 	14343.5 	15085.7 	15948.9 	16491.0 
B6N_U,PPCS_HAB,FR52	10227.6 	10857.3 	11216.3 	11722.7 	12603.7 	13906.6 	14266.7 	13713.0 	14168.2 	15050.8 	15824.2 	16449.2 
B6N_U,PPCS_HAB,FR53	10203.6 	10807.4 	11208.8 	11741.1 	12614.1 	13792.4 	14426.6 	13848.9 	14342.7 	15052.7 	15973.8 	16513.7 
B6N_U,PPCS_HAB,FR61	10557.2 	11342.2 	11697.7 	12209.2 	12996.5 	14322.4 	14877.0 	14214.1 	14735.7 	15535.4 	16368.7 	16958.8 
B6N_U,PPCS_HAB,FR62	10202.9 	10861.5 	11217.8 	11868.9 	12765.1 	14018.6 	14569.6 	13905.4 	14333.4 	15224.5 	16042.2 	16563.5 
B6N_U,PPCS_HAB,FR63	10532.7 	11139.4 	11798.3 	12269.7 	13232.9 	14434.5 	14990.7 	14412.3 	14903.0 	15829.8 	16613.9 	17321.4 
B6N_U,PPCS_HAB,FR71	10968.1 	11529.9 	12136.4 	12755.1 	13664.3 	15029.2 	15667.5 	15012.5 	15563.2 	16212.2 	16864.4 	17629.5 
B6N_U,PPCS_HAB,FR72	10554.3 	11187.1 	11707.5 	12227.7 	13080.3 	14256.9 	14895.8 	14372.0 	14876.0 	15828.9 	16618.6 	17425.7 
B6N_U,PPCS_HAB,FR81	9714.3 	10315.5 	10821.1 	11361.3 	12116.7 	13252.6 	13803.9 	13259.4 	13632.5 	14292.6 	15217.6 	15625.9 
B6N_U,PPCS_HAB,FR82	10756.6 	11284.0 	11731.8 	12305.5 	13300.0 	14586.1 	15224.2 	14640.7 	15107.9 	15784.7 	16202.0 	17026.8 
B6N_U,PPCS_HAB,FR83	9009.1 	9864.9 	10675.0 	11064.0 	11559.3 	12633.7 	13174.3 	12752.6 	13086.5 	13730.6 	14870.4 	14988.6 
B6N_U,PPCS_HAB,FR91	6427.5 	: 	7531.9 	7908.0 	8416.2 	: 	: 	: 	: 	: 	: 	: 
