geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.314 	0.955 	0.96 p
PL61	: 	: 	: 	: 	: 	: 	: 	0.097 	: 	: 	: 	: 
PL62	: 	: 	: 	: 	: 	: 	: 	0.35 	0.35 	: 	0.42 	: 
PL63	: 	0.115 	0.184 	0.114 	0.462 	0.091 	0.436 	0.458 	: 	: 	: 	: 
PT11	: 	0.336 	: 	0.555 	0.345 	0.596 	0.363 	0.257 	: 	0.545 	0.262 	0.246 p
PT15	: 	: 	: 	0.894 	: 	: 	: 	: 	: 	: 	: 	: 
PT16	0.145 	: 	: 	: 	: 	0.086 	: 	0.531 	0.317 	1.809 	2.422 	2.863 p
PT17	0.769 	0.882 	1.019 	1.335 	0.757 	2.404 	0.644 	2.446 	1.89 	9.407 	4.21 	4.538 p
PT18	: 	0.261 	: 	0.432 	: 	: 	0.326 	: 	2.606 	1.303 	1.306 	: 
PT20	: 	: 	: 	: 	: 	: 	4.209 	: 	: 	: 	: 	: 
PT30	: 	: 	: 	: 	: 	: 	2.08 	4.145 	: 	: 	: 	: 
RO11	: 	0.285 	: 	: 	: 	0.119 	0.434 	: 	: 	0.547 	: 	: 
RO12	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.395 	0.055 	: 
RO21	: 	: 	: 	0.179 	: 	: 	0.171 	: 	: 	0.067 	0.088 	: 
RO31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.099 	0.203 p
RO32	: 	0.897 	0.149 	: 	0.907 	0.91 	0.303 	0.793 	1.146 	1.403 	1.665 	0.82 p
RO41	: 	: 	: 	: 	: 	0.284 	: 	: 	: 	: 	: 	: 
RO42	: 	: 	: 	: 	: 	: 	: 	0.384 	: 	: 	: 	1.209 p
SE11	107.68 	165.364 	159.525 	154.6 	165.079 	125.317 	91.349 	93.684 	122.647 	110.978 	140.48 	67.316 p
SE12	28.938 	27.897 	39.835 	45.854 	58.147 	45.809 	37.04 	26.094 	40.037 	42.91 	44.122 	26.468 p
SE21	3.488 	4.949 	4.944 	3.579 	6.363 	4.917 	4.181 	8.156 	8.04 	6.74 	7.999 	6.444 p
SE22	41.709 	53.437 	70.843 	134.53 	115.732 	84.286 	118.243 	107.292 	111.908 	123.012 	174.07 	81.396 p
SE23	13.603 	25.27 	30.348 	29.861 	33.713 	38.974 	32.399 	26.987 	38.284 	35.499 	29.78 	11.915 p
SE31	17.009 	20.418 	8.623 	11.169 	15.754 	7.051 	5.524 	5.441 	1.608 	4.842 	8.327 	6.341 p
SE32	: 	11.07 	8.981 	17.386 	4.605 	11.953 	3.211 	4.701 	0.888 	4.036 	6.608 	0.889 p
SE33	37.228 	24.894 	58.238 	58.926 	57.342 	25.729 	38.328 	40.876 	36.633 	36.077 	58.442 	20.59 p
SI01	0.461 	0.462 	1.852 	: 	1.825 	1.501 	4.472 	: 	0.593 	0.993 	1.214 	5.458 p
SI02	1.657 	2.817 	7.217 	1.109 	2.544 	6.191 	7.768 	7.285 	2.572 	3.077 	4.046 	7.606 p
SK01	: 	0.808 	2.15 	5.262 	2.026 	5.979 	10.634 	4.002 	4.302 	3.377 	8.282 	1.648 p
SK02	: 	: 	0.176 	0.266 	: 	0.358 	: 	: 	0.268 	0.29 	0.193 	0.446 p
SK03	: 	0.555 	0.126 	0.125 	0.096 	0.391 	0.369 	: 	: 	: 	1.05 	: 
SK04	: 	: 	: 	0.434 	: 	: 	: 	0.532 	: 	: 	0.528 	0.953 p
UKC1	0.286 	3.038 	4.312 	2.586 	3.992 	3.489 	9.598 	4.543 	3.007 	8.597 	6.34 	3.014 p
UKC2	: 	2.493 	4.299 	5.387 	5.123 	3.548 	5.501 	6.039 	3.733 	4.462 	5.642 	1.094 p
UKD1	: 	1.026 	3.582 	2.906 	8.198 	4.101 	10.756 	2.042 	4.464 	2.02 	1.472 	: 
UKD2	8.059 	17.086 	30.503 	25.561 	37.348 	20.659 	14.574 	12.885 	11.785 	20.173 	5.178 	4.992 p
