landuse,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
L0008,TR41	28565.5 	28565.5 	28565.5 	28565.5 	28565.5 	28565.5 	28565.5 	28565.5 	28565.5 	28565.5 	: 
L0008,TR42	20184.4 	20184.4 	20184.4 	20184.4 	20184.4 	20184.4 	20184.4 	20184.4 	20184.4 	20184.4 	: 
L0008,TR51	24520.5 	24520.5 	24520.5 	24520.5 	24520.5 	24520.5 	24520.5 	24520.5 	24520.5 	24520.5 	: 
L0008,TR52	47717.4 	47717.4 	47717.4 	47717.4 	47717.4 	47717.4 	47717.4 	47717.4 	47717.4 	47717.4 	: 
L0008,TR61	35839.5 	35839.5 	35839.5 	35839.5 	35839.5 	35839.5 	35839.5 	35839.5 	35839.5 	35839.5 	: 
L0008,TR62	29399.5 	29399.5 	29399.5 	29399.5 	29399.5 	29399.5 	29399.5 	29399.5 	29399.5 	29399.5 	: 
L0008,TR63	23297.5 	23297.5 	23297.5 	23297.5 	23297.5 	23297.5 	23297.5 	23297.5 	23297.5 	23297.5 	: 
L0008,TR71	31187.1 	31187.1 	31187.1 	31187.1 	31187.1 	31187.1 	31187.1 	31187.1 	31187.1 	31187.1 	: 
L0008,TR72	59664.2 	59664.2 	59664.2 	59664.2 	59664.2 	59664.2 	59664.2 	59664.2 	59664.2 	59664.2 	: 
L0008,TR81	9493.0 	9493.0 	9493.0 	9493.0 	9493.0 	9493.0 	9493.0 	9493.0 	9493.0 	9493.0 	: 
L0008,TR82	26434.8 	26434.8 	26434.8 	26434.8 	26434.8 	26434.8 	26434.8 	26434.8 	26434.8 	26434.8 	: 
L0008,TR83	37523.6 	37523.6 	37523.6 	37523.6 	37523.6 	37523.6 	37523.6 	37523.6 	37523.6 	37523.6 	: 
L0008,TR90	35174.0 	35174.0 	35174.0 	35174.0 	35174.0 	35174.0 	35174.0 	35174.0 	35174.0 	35174.0 	: 
L0008,TRA1	40681.1 	40681.1 	40681.1 	40681.1 	40681.1 	40681.1 	40681.1 	40681.1 	40681.1 	40681.1 	: 
L0008,TRA2	30026.3 	30026.3 	30026.3 	30026.3 	30026.3 	30026.3 	30026.3 	30026.3 	30026.3 	30026.3 	: 
L0008,TRB1	35916.6 	35916.6 	35916.6 	35916.6 	35916.6 	35916.6 	35916.6 	35916.6 	35916.6 	35916.6 	: 
L0008,TRB2	41557.9 	41557.9 	41557.9 	41557.9 	41557.9 	41557.9 	41557.9 	41557.9 	41557.9 	41557.9 	: 
L0008,TRC1	15280.3 	15280.3 	15280.3 	15280.3 	15280.3 	15280.3 	15280.3 	15280.3 	15280.3 	15280.3 	: 
L0008,TRC2	33822.5 	33822.5 	33822.5 	33822.5 	33822.5 	33822.5 	33822.5 	33822.5 	33822.5 	33822.5 	: 
L0008,TRC3	26090.1 	26090.1 	26090.1 	26090.1 	26090.1 	26090.1 	26090.1 	26090.1 	26090.1 	26090.1 	: 
L0008,UKC1	3045.7 	3045.7 	3045.7 	3045.7 	3020.0 	3020.1 	3020.0 	3020.0 	3020.1 	: 	: 
L0008,UKC2	5566.3 	5566.3 	5566.3 	5566.3 	5553.0 	5553.1 	5553.1 	5553.1 	5553.1 	: 	: 
L0008,UKD1	6823.5 	6823.5 	6823.5 	6823.5 	6768.0 	6767.2 	6767.2 	6767.2 	6767.2 	: 	: 
L0008,UKD2	2331.1 	2331.1 	2331.1 	2331.1 	2343.0 	2342.8 	2342.8 	2342.8 	2342.8 	: 	: 
L0008,UKD3	1285.9 	1285.9 	1285.9 	1285.9 	1276.0 	1276.0 	1276.0 	1276.0 	1276.0 	: 	: 
L0008,UKD4	3069.8 	3069.8 	3069.8 	3069.8 	3075.0 	3075.0 	3075.0 	3075.0 	3075.0 	: 	: 
L0008,UKD5	655.2 	655.2 	655.2 	655.2 	645.0 	644.9 	644.9 	644.9 	644.9 	: 	: 
L0008,UKE1	3657.7 	3657.7 	3657.7 	3657.7 	3517.0 	3517.4 	3517.4 	3517.4 	3517.3 	: 	: 
L0008,UKE2	8315.1 	8315.1 	8315.1 	8315.1 	8310.0 	8309.6 	8309.6 	8309.6 	8309.6 	: 	: 
L0008,UKE3	1559.4 	1559.4 	1559.4 	1559.4 	1552.0 	1551.5 	1551.5 	1551.5 	1551.5 	: 	: 
L0008,UKE4	2034.2 	2034.2 	2034.2 	2034.2 	2029.0 	2029.3 	2029.3 	2029.3 	2029.3 	: 	: 
L0008,UKF1	4788.4 	4788.4 	4788.4 	4788.4 	4784.0 	4784.1 	4784.1 	4784.1 	4784.1 	: 	: 
L0008,UKF2	4917.9 	4917.9 	4917.9 	4917.9 	4901.0 	4901.7 	4901.7 	4901.7 	4901.7 	: 	: 
L0008,UKF3	5920.9 	5920.9 	5920.9 	5920.9 	5921.0 	5920.6 	5920.6 	5920.6 	5920.6 	: 	: 
L0008,UKG1	5902.0 	5902.0 	5902.0 	5902.0 	5895.0 	5895.3 	5895.3 	5895.3 	5895.3 	: 	: 
L0008,UKG2	6203.1 	6203.1 	6203.1 	6203.1 	6201.0 	6201.4 	6201.4 	6201.4 	6201.4 	: 	: 
L0008,UKG3	898.7 	898.7 	898.7 	898.7 	902.0 	901.6 	901.6 	901.6 	901.6 	: 	: 
L0008,UKH1	12570.4 	12570.4 	12570.4 	12570.4 	12561.0 	12560.6 	12560.6 	12560.6 	12560.6 	: 	: 
L0008,UKH2	2874.8 	2874.8 	2874.8 	2874.8 	2878.0 	2878.5 	2878.5 	2878.5 	2878.5 	: 	: 
L0008,UKH3	3675.0 	3675.0 	3675.0 	3675.0 	3670.0 	3669.7 	3669.7 	3669.7 	3669.7 	: 	: 
L0008,UKI1	320.5 	320.5 	320.5 	320.5 	319.0 	319.3 	319.3 	319.3 	319.3 	: 	: 
L0008,UKI2	1263.2 	1263.2 	1263.2 	1263.2 	1253.0 	1252.9 	1252.9 	1252.9 	1252.9 	: 	: 
L0008,UKJ1	5741.5 	5741.5 	5741.5 	5741.5 	5741.0 	5740.5 	5740.5 	5740.5 	5740.5 	: 	: 
