geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
SK02	: 	686.6 	344.0 	: 	: 	: 	963.6 	956.1 	941.5 	935.3 	914.2 	: 
SK03	: 	692.3 	349.3 	: 	: 	: 	985.9 	984.9 	975.4 	966.5 	945.2 	: 
SK04	: 	689.7 	341.8 	: 	: 	: 	982.0 	972.1 	952.8 	941.7 	918.4 	: 
UKC1	849.6 	806.6 	787.0 	770.5 	754.7 	753.8 	750.5 	734.5 	710.2 	679.3 	: 	: 
UKC2	838.3 	817.7 	801.7 	772.5 	757.2 	747.7 	745.8 	721.5 	695.8 	665.0 	: 	: 
UKD1	763.0 	734.0 	719.2 	697.7 	680.8 	670.1 	666.2 	644.6 	625.3 	602.8 	: 	: 
UKD2	769.2 	728.9 	716.6 	697.0 	682.5 	674.8 	668.5 	649.6 	633.8 	613.8 	: 	: 
UKD3	848.6 	823.1 	807.1 	787.6 	774.1 	773.3 	768.2 	752.2 	727.2 	702.0 	: 	: 
UKD4	801.9 	784.4 	764.6 	750.6 	737.9 	732.9 	728.2 	710.9 	687.4 	666.2 	: 	: 
UKD5	854.8 	826.1 	809.7 	795.8 	781.4 	779.0 	769.2 	752.8 	725.1 	705.2 	: 	: 
UKE1	764.1 	743.5 	727.1 	702.1 	687.6 	689.6 	689.3 	678.4 	655.6 	636.5 	: 	: 
UKE2	691.7 	653.9 	644.5 	626.3 	614.3 	605.5 	603.7 	588.1 	568.1 	548.6 	: 	: 
UKE3	797.8 	773.6 	755.3 	729.5 	722.2 	715.3 	714.4 	701.3 	675.9 	656.7 	: 	: 
UKE4	786.6 	750.7 	737.3 	723.4 	717.1 	711.4 	704.7 	683.4 	664.3 	644.3 	: 	: 
UKF1	760.0 	735.6 	722.6 	706.9 	696.9 	695.3 	684.5 	662.6 	635.7 	616.4 	: 	: 
UKF2	720.3 	700.6 	691.0 	670.1 	650.1 	647.9 	649.2 	638.3 	615.7 	589.3 	: 	: 
